iter,RSS
1,0.0127753
2,0.00953102
3,0.00846743
4,0.00783617
5,0.00734315
6,0.00692133
7,0.00654729
8,0.00620979
9,0.0059027
10,0.00562236
11,0.00536641
12,0.00513506
13,0.00492805
14,0.00474527
15,0.00458651
16,0.00445116
17,0.00433807
18,0.00424557
19,0.00417147
20,0.00411318
21,0.00406736
22,0.00402316
23,0.0039873
24,0.00395802
25,0.00393417
26,0.00391342
27,0.00389402
28,0.00387491
29,0.00385544
30,0.00383516
31,0.0038138
32,0.00379127
33,0.00376761
34,0.00374289
35,0.00371722
36,0.00369069
37,0.00366341
38,0.00363548
39,0.00360697
40,0.00357797
41,0.00354854
42,0.00351879
43,0.00348883
44,0.00345872
45,0.00342868
46,0.00339892
47,0.00336936
48,0.00333994
49,0.00331068
50,0.00328163
51,0.00324844
52,0.00321574
53,0.00318362
54,0.00315196
55,0.00312078
56,0.0030901
57,0.00305994
58,0.00303029
59,0.00300148
60,0.0029736
61,0.00294652
62,0.00292016
63,0.00289442
64,0.00286927
65,0.00284463
66,0.00282049
67,0.00279681
68,0.00277355
69,0.00275069
70,0.00272822
71,0.00270614
72,0.00268443
73,0.00266308
74,0.0026421
75,0.00262149
76,0.0026011
77,0.00258115
78,0.00256185
79,0.00254311
80,0.00252488
81,0.0025071
82,0.00248973
83,0.00247273
84,0.00245609
85,0.00243997
86,0.00242406
87,0.00240839
88,0.00239297
89,0.00237778
90,0.00236282
91,0.00234807
92,0.00233353
93,0.00231919
94,0.00230505
95,0.00229109
96,0.00227732
97,0.00226344
98,0.00224994
99,0.00223686
100,0.00222413
101,0.00221169
102,0.00219949
103,0.0021875
104,0.00217569
105,0.00216402
106,0.00215246
107,0.002141
108,0.00212961
109,0.00211827
110,0.00210699
111,0.00209575
112,0.00208455
113,0.00207339
114,0.00206226
115,0.00205117
116,0.00204013
117,0.00202912
118,0.00201816
119,0.00200725
120,0.00199638
121,0.00198556
122,0.00197479
123,0.00196405
124,0.00195336
125,0.00194271
126,0.00193209
127,0.00192151
128,0.00191095
129,0.00190042
130,0.00188992
131,0.00187944
132,0.00186898
133,0.00185854
134,0.00184811
135,0.00183771
136,0.00182733
137,0.00181696
138,0.00180662
139,0.00179631
140,0.00178602
141,0.00177575
142,0.00176552
143,0.00175533
144,0.00174517
145,0.00173505
146,0.00172497
147,0.00171493
148,0.00170495
149,0.00169501
150,0.00168513
151,0.0016753
152,0.00166553
153,0.00165581
154,0.00164615
155,0.00163653
156,0.00162691
157,0.00161735
158,0.00160784
159,0.00159838
160,0.00158898
161,0.00157964
162,0.00157031
163,0.00156118
164,0.00155223
165,0.00154335
166,0.00153453
167,0.00152581
168,0.00151717
169,0.00150858
170,0.00150004
171,0.00149154
172,0.00148307
173,0.00147464
174,0.00146623
175,0.00145785
176,0.00144948
177,0.00144114
178,0.00143283
179,0.00142456
180,0.00141631
181,0.00140806
182,0.00139981
183,0.00139156
184,0.00138331
185,0.00137506
186,0.0013668
187,0.00135855
188,0.00135029
189,0.00134203
190,0.00133377
191,0.00132551
192,0.00131726
193,0.00130902
194,0.00130079
195,0.00129257
196,0.00128437
197,0.00127619
198,0.00126804
199,0.00125991
200,0.00125183
201,0.00124378
202,0.00123578
203,0.00122782
204,0.00121992
205,0.00121205
206,0.00120444
207,0.00119702
208,0.00118974
209,0.00118257
210,0.0011755
211,0.00116849
212,0.00116157
213,0.0011547
214,0.0011479
215,0.00114116
216,0.00113448
217,0.00112787
218,0.00112132
219,0.00111484
220,0.00110843
221,0.00110209
222,0.00109583
223,0.00108965
224,0.00108355
225,0.00107755
226,0.00107163
227,0.0010658
228,0.00106006
229,0.00105441
230,0.00104886
231,0.00104343
232,0.00103813
233,0.00103295
234,0.00102787
235,0.0010229
236,0.00101802
237,0.00101321
238,0.00100848
239,0.00100379
240,0.000999156
241,0.000994555
242,0.000989979
243,0.000985418
244,0.000981054
245,0.000976817
246,0.000972601
247,0.00096835
248,0.000964037
249,0.00095965
250,0.000955183
251,0.000950634
252,0.000946003
253,0.000941292
254,0.000936505
255,0.000931645
256,0.000926717
257,0.000921725
258,0.000916675
259,0.000911572
260,0.000906419
261,0.000901223
262,0.000895988
263,0.000890718
264,0.000885418
265,0.000880093
266,0.000874747
267,0.000869384
268,0.000864007
269,0.000858621
270,0.000853229
271,0.000847835
272,0.000842441
273,0.000837052
274,0.000831669
275,0.000826295
276,0.000820934
277,0.000815587
278,0.000810257
279,0.000804947
280,0.000799657
281,0.00079439
282,0.000789148
283,0.000783932
284,0.000778743
285,0.000773584
286,0.000768454
287,0.000763355
288,0.000758289
289,0.000753255
290,0.000748255
291,0.000743289
292,0.000738358
293,0.000733462
294,0.000728602
295,0.000723778
296,0.00071899
297,0.000714239
298,0.000709524
299,0.000704846
300,0.000700205
301,0.000695601
302,0.000691034
303,0.000686503
304,0.000682008
305,0.00067755
306,0.000673128
307,0.000668743
308,0.000664392
309,0.000660078
310,0.000655798
311,0.000651554
312,0.000647344
313,0.000643169
314,0.000639027
315,0.000634919
316,0.000630845
317,0.000626804
318,0.000622795
319,0.000618819
320,0.000614875
321,0.000610963
322,0.000607082
323,0.000603233
324,0.000599414
325,0.000595625
326,0.000591866
327,0.000588138
328,0.000584438
329,0.000580768
330,0.000577127
331,0.000573514
332,0.000569929
333,0.000566372
334,0.000562843
335,0.000559341
336,0.000555867
337,0.000552419
338,0.000548997
339,0.000545602
340,0.000542233
341,0.00053889
342,0.000535572
343,0.000532279
344,0.000529011
345,0.000525768
346,0.00052255
347,0.000519355
348,0.000516185
349,0.000513039
350,0.000509916
351,0.000506817
352,0.000503741
353,0.000500687
354,0.000497657
355,0.000494649
356,0.000491664
357,0.000488701
358,0.000485759
359,0.00048284
360,0.000479942
361,0.000477066
362,0.00047421
363,0.000471376
364,0.000468563
365,0.000465771
366,0.000462999
367,0.000460247
368,0.000457516
369,0.000454804
370,0.000452113
371,0.000449441
372,0.000446789
373,0.000444156
374,0.000441542
375,0.000438947
376,0.000436371
377,0.000433814
378,0.000431276
379,0.000428756
380,0.000426254
381,0.000423771
382,0.000421305
383,0.000418857
384,0.000416427
385,0.000414014
386,0.000411619
387,0.000409241
388,0.00040688
389,0.000404536
390,0.000402209
391,0.000399898
392,0.000397604
393,0.000395326
394,0.000393065
395,0.000390819
396,0.00038859
397,0.000386376
398,0.000384178
399,0.000381995
400,0.000379828
401,0.000377676
402,0.000375539
403,0.000373417
404,0.00037131
405,0.000369217
406,0.000367139
407,0.000365076
408,0.000363027
409,0.000360992
410,0.00035897
411,0.000356963
412,0.00035497
413,0.00035299
414,0.000351024
415,0.000349071
416,0.000347131
417,0.000345204
418,0.00034329
419,0.000341389
420,0.000339501
421,0.000337625
422,0.000335762
423,0.000333911
424,0.000332072
425,0.000330246
426,0.000328431
427,0.000326628
428,0.000324836
429,0.000323057
430,0.000321288
431,0.000319531
432,0.000317786
433,0.000316051
434,0.000314327
435,0.000312614
436,0.000310912
437,0.00030922
438,0.000307539
439,0.000305868
440,0.000304207
441,0.000302557
442,0.000300916
443,0.000299286
444,0.000297665
445,0.000296091
446,0.000294549
447,0.000293076
448,0.000291649
449,0.000290247
450,0.000288858
451,0.000287477
452,0.000286101
453,0.000284726
454,0.000283353
455,0.00028198
456,0.000280607
457,0.000279233
458,0.000277858
459,0.000276483
460,0.000275106
461,0.000273728
462,0.000272349
463,0.00027097
464,0.00026959
465,0.000268209
466,0.000266829
467,0.000265448
468,0.000264069
469,0.00026269
470,0.000261312
471,0.000259936
472,0.000258562
473,0.00025719
474,0.00025582
475,0.000254453
476,0.000253089
477,0.000251728
478,0.000250371
479,0.000249017
480,0.000247667
481,0.000246321
482,0.000244978
483,0.00024364
484,0.000242307
485,0.000240977
486,0.000239652
487,0.000238332
488,0.000237016
489,0.000235705
490,0.000234399
491,0.000233097
492,0.0002318
493,0.000230508
494,0.000229221
495,0.000227939
496,0.000226661
497,0.000225388
498,0.00022412
499,0.000222857
500,0.000221599
501,0.000220345
502,0.000219096
503,0.000217852
504,0.000216613
505,0.000215378
506,0.000214148
507,0.000212922
508,0.000211701
509,0.000210485
510,0.000209273
511,0.000208066
512,0.000206863
513,0.000205665
514,0.000204471
515,0.000203281
516,0.000202096
517,0.000200915
518,0.000199738
519,0.000198566
520,0.000197398
521,0.000196234
522,0.000195074
523,0.000193918
524,0.000192766
525,0.000191618
526,0.000190474
527,0.000189334
528,0.000188198
529,0.000187066
530,0.000185938
531,0.000184813
532,0.000183693
533,0.000182576
534,0.000181463
535,0.000180353
536,0.000179248
537,0.000178145
538,0.000177047
539,0.000175952
540,0.000174861
541,0.000173773
542,0.000172689
543,0.000171609
544,0.000170531
545,0.000169458
546,0.000168387
547,0.000167321
548,0.000166257
549,0.000165197
550,0.000164141
551,0.000163087
552,0.000162037
553,0.000160991
554,0.000159963
555,0.000158968
556,0.000157991
557,0.000157023
558,0.00015606
559,0.0001551
560,0.000154141
561,0.000153184
562,0.000152227
563,0.000151271
564,0.000150315
565,0.00014936
566,0.000148404
567,0.000147448
568,0.000146492
569,0.000145537
570,0.000144581
571,0.000143625
572,0.00014267
573,0.000141715
574,0.000140761
575,0.000139807
576,0.000138854
577,0.000137902
578,0.000136952
579,0.000136002
580,0.000135054
581,0.000134108
582,0.000133163
583,0.00013222
584,0.000131279
585,0.000130339
586,0.000129402
587,0.000128467
588,0.000127534
589,0.000126604
590,0.000125675
591,0.00012475
592,0.000123826
593,0.000122906
594,0.000121987
595,0.000121072
596,0.000120159
597,0.000119249
598,0.000118342
599,0.000117437
600,0.000116536
601,0.000115637
602,0.000114741
603,0.000113848
604,0.000112959
605,0.000112072
606,0.000111188
607,0.000110307
608,0.00010943
609,0.000108555
610,0.000107684
611,0.000106815
612,0.00010595
613,0.000105088
614,0.00010423
615,0.000103374
616,0.000102522
617,0.000101673
618,0.000100828
619,9.99855e-05
620,9.91469e-05
621,9.83116e-05
622,9.74793e-05
623,9.66502e-05
624,9.58242e-05
625,9.50015e-05
626,9.41821e-05
627,9.33661e-05
628,9.25534e-05
629,9.17442e-05
630,9.09385e-05
631,9.01362e-05
632,8.93374e-05
633,8.85421e-05
634,8.77504e-05
635,8.69623e-05
636,8.61777e-05
637,8.53968e-05
638,8.46195e-05
639,8.38458e-05
640,8.30759e-05
641,8.23096e-05
642,8.1547e-05
643,8.07881e-05
644,8.0033e-05
645,7.92816e-05
646,7.8534e-05
647,7.77902e-05
648,7.70502e-05
649,7.6314e-05
650,7.55816e-05
651,7.48531e-05
652,7.41284e-05
653,7.34076e-05
654,7.26907e-05
655,7.19777e-05
656,7.12686e-05
657,7.05634e-05
658,6.98621e-05
659,6.91648e-05
660,6.84714e-05
661,6.7782e-05
662,6.70965e-05
663,6.64151e-05
664,6.57376e-05
665,6.50641e-05
666,6.43947e-05
667,6.37292e-05
668,6.30678e-05
669,6.24104e-05
670,6.17571e-05
671,6.11077e-05
672,6.04625e-05
673,5.98213e-05
674,5.91842e-05
675,5.85511e-05
676,5.79222e-05
677,5.72973e-05
678,5.66765e-05
679,5.60598e-05
680,5.54472e-05
681,5.48388e-05
682,5.42344e-05
683,5.36341e-05
684,5.3038e-05
685,5.2446e-05
686,5.18581e-05
687,5.12743e-05
688,5.06947e-05
689,5.01192e-05
690,4.95478e-05
691,4.89806e-05
692,4.84175e-05
693,4.78585e-05
694,4.73037e-05
695,4.6753e-05
696,4.62064e-05
697,4.5664e-05
698,4.51257e-05
699,4.45915e-05
700,4.40615e-05
701,4.35356e-05
